element,sp_num,obs_wl_vac(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
Ti,1,"=""653.8228""","=""0.0005""","=""6""","=""2.10e+06""",C+,"=""26910.709""","=""42205.377""","=""3d3.(4F).4p""","=""y 5G*""","=""6""","=""3d2.4s.(4F).4d""","=""e 5H""","=""7""",,
Fe,1,"=""654.02997""","=""0.00013""","=""930""","=""""",,"=""33412.717""","=""48702.535""","=""3d8""","=""c 3F""","=""3""","=""3d6.(3H).4s.4p.(3P*)""","=""y 1G*""","=""4""",,
Ti,1,"=""654.4847""","=""0.0005""","=""9""","=""""",,"=""28596.313""","=""43875.514""","=""3d3.(4F).4p""","=""y 5F*""","=""1""","=""3d3.(4F).4d""","=""5F""","=""1""",,
Ti,1,"=""654.6557""","=""0.0005""","=""12""","=""""",,"=""28638.841""","=""43914.0450""","=""3d3.(4F).4p""","=""y 5F*""","=""2""","=""3d3.(4F).4d""","=""5F""","=""2""",,
Fe,1,"=""654.80474""","=""0.00013""","=""224000""","=""9.06e+05""",C,"=""22249.429""","=""37521.161""","=""3d7.(2G).4s""","=""a 3G""","=""3""","=""3d7.(4F).4p""","=""y 3F*""","=""2""",,
Ti,1,"=""654.8074""","=""0.0005""","=""190""","=""""",,"=""11531.761""","=""26803.420""","=""3d3.(4F).4s""","=""b 3F""","=""2""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3F*""","=""2""",,
Fe,1,"=""654.9385""","=""0.0006""","=""129""","=""""",,"=""7728.060""","=""22996.674""","=""3d7.(4F).4s""","=""a 5F""","=""3""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""4""",,
Ti,1,"=""655.0133""","=""0.0005""","=""18""","=""""",,"=""28702.778""","=""43969.6460""","=""3d3.(4F).4p""","=""y 5F*""","=""3""","=""3d3.(4F).4d""","=""5F""","=""3""",,
Fe,1,"=""655.34875""","=""0.00013""","=""1260""","=""""",,"=""7985.785""","=""23244.838""","=""3d7.(4F).4s""","=""a 5F""","=""2""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""1""",,
Ti,1,"=""655.6033""","=""0.0005""","=""280""","=""1.34e+06""",C+,"=""11639.8109""","=""26892.936""","=""3d3.(4F).4s""","=""b 3F""","=""3""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3F*""","=""3""",,
Ti,1,"=""655.6637""","=""0.0005""","=""27""","=""""",,"=""28788.380""","=""44040.0941""","=""3d3.(4F).4p""","=""y 5F*""","=""4""","=""3d3.(4F).4d""","=""5F""","=""4""",,
Fe,1,"=""655.7680""","=""0.0003""","=""219""","=""""",,"=""32873.632""","=""48122.928""","=""3d8""","=""c 3F""","=""4""","=""3d6.(3G).4s.4p.(3P*)""","=""v 5F*""","=""3""",,
Ti,1,"=""655.7872""","=""0.0005""","=""380""","=""1.45e+06""",C+,"=""11776.812""","=""27025.659""","=""3d3.(4F).4s""","=""b 3F""","=""4""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3F*""","=""4""",,
Fe,1,"=""655.85989""","=""0.00013""","=""1700""","=""""",,"=""38678.039""","=""53925.200""","=""3d7.(4F).4p""","=""y 3D*""","=""2""","=""3d7.(4F).4d""","=""f 5P""","=""1""",,
Fe,1,"=""656.1583""","=""0.0003""","=""282""","=""""",,"=""36940.590""","=""52180.820""","=""3d7.(2F).4s""","=""d 3F""","=""2""","=""3d7.(2P).4p""","=""1P*""","=""1""",,
Ti,1,"=""656.3117""","=""0.0005""","=""4""","=""""",,"=""28638.841""","=""43875.514""","=""3d3.(4F).4p""","=""y 5F*""","=""2""","=""3d3.(4F).4d""","=""5F""","=""1""",,
Ti,1,"=""656.6069""","=""0.0005""","=""3""","=""""",,"=""20209.447""","=""35439.251""","=""3d3.(2D2).4s""","=""b 1D""","=""2""","=""3d2.(3P).4s.4p.(1P*)""","=""y 3S*""","=""1""",,
Ti,1,"=""656.7316""","=""0.0005""","=""39""","=""""",,"=""28896.059""","=""44122.9818""","=""3d3.(4F).4p""","=""y 5F*""","=""5""","=""3d3.(4F).4d""","=""5F""","=""5""",,
Fe,1,"=""657.10297""","=""0.00013""","=""45700""","=""6.0e+06""",D,"=""38175.355""","=""53393.673""","=""3d7.(4F).4p""","=""y 3D*""","=""3""","=""3d7.(4F).4d""","=""g 5F""","=""4""",,
Fe,1,"=""657.2982""","=""0.0003""","=""417""","=""""",,"=""34636.792""","=""49850.590""","=""3d6.4s2""","=""b 1D2""","=""2""","=""3d7.(2G).4p""","=""v 3G*""","=""3""",,
Ti,1,"=""657.4074""","=""0.0005""","=""6""","=""""",,"=""28702.778""","=""43914.0450""","=""3d3.(4F).4p""","=""y 5F*""","=""3""","=""3d3.(4F).4d""","=""5F""","=""2""",,
Fe,1,"=""657.6044""","=""0.0009""","=""10000bl""","=""3.06e+02""",B+,"=""7985.785""","=""23192.500""","=""3d7.(4F).4s""","=""a 5F""","=""2""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""2""",,
Fe,1,"=""657.68316""","=""0.00013""","=""22400""","=""4.30e+04""",C+,"=""20874.482""","=""36079.372""","=""3d6.4s2""","=""b 3F2""","=""3""","=""3d7.(4F).4p""","=""z 3G*""","=""3""",,
Ti,1,"=""657.6980""","=""0.0005""","=""40""","=""""",,"=""20795.603""","=""36000.148""","=""3d3.(2H).4s""","=""a 1H""","=""5""","=""3d2.(1G).4s.4p.(1P*)""","=""y 1G*""","=""4""",,
Fe,1,"=""658.30275""","=""0.00013""","=""4170""","=""3.58e+02""",C+,"=""11976.239""","=""27166.820""","=""3d7.(4F).4s""","=""a 3F""","=""4""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""4""",,
Fe,1,"=""658.6398""","=""0.0003""","=""219""","=""""",,"=""43499.505""","=""58682.322""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""4""","=""3d6.4s.(4D).4d""","=""3D""","=""3""",,
Ti,1,"=""658.7064""","=""0.0005""","=""6""","=""""",,"=""28788.380""","=""43969.6460""","=""3d3.(4F).4p""","=""y 5F*""","=""4""","=""3d3.(4F).4d""","=""5F""","=""3""",,
Fe,1,"=""659.31330""","=""0.00013""","=""1580""","=""""",,"=""37045.934""","=""52213.230""","=""3d7.(2F).4s""","=""d 3F""","=""4""","=""3d7.(2D2).4p""","=""t 3D*""","=""3""",,
Fe,1,"=""659.4430""","=""0.0009""","=""129bl""","=""""",,"=""39969.853""","=""55134.168""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""3""","=""3d6.4s.(6D).6s""","=""5D""","=""2""",,
Fe,1,"=""659.47344""","=""0.00013""","=""155000""","=""7.37e+05""",C+,"=""21999.130""","=""37162.746""","=""3d7.(2G).4s""","=""a 3G""","=""4""","=""3d7.(4F).4p""","=""y 3F*""","=""3""",,
Ti,1,"=""659.4735""","=""0.0005""","=""6""","=""""",,"=""11639.8109""","=""26803.420""","=""3d3.(4F).4s""","=""b 3F""","=""3""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3F*""","=""2""",,
Fe,1,"=""659.56913""","=""0.00013""","=""71000""","=""5.28e+04""",B,"=""19621.006""","=""34782.421""","=""3d6.4s2""","=""a 3H""","=""5""","=""3d7.(4F).4p""","=""z 5G*""","=""5""",,
Fe,1,"=""659.93828""","=""0.00013""","=""8700""","=""2.0e+06""",E,"=""38678.039""","=""53830.975""","=""3d7.(4F).4p""","=""y 3D*""","=""2""","=""3d7.(4F).4d""","=""g 5F""","=""3""",,
Ti,1,"=""660.0928""","=""0.0005""","=""330""","=""1.80e+05""",C+,"=""7255.355""","=""22404.739""","=""3d2.4s2""","=""a 1D""","=""2""","=""3d2.(3F).4s.4p.(3P*)""","=""z 1F*""","=""3""",,
Fe,1,"=""660.2945""","=""0.0009""","=""71""","=""""",,"=""40231.336""","=""55376.090""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""2""","=""3d7.(4F).4d""","=""e 3P""","=""1""",,
Ti,1,"=""660.3270""","=""0.0005""","=""9*""","=""""",,"=""28896.059""","=""44040.0941""","=""3d3.(4F).4p""","=""y 5F*""","=""5""","=""3d3.(4F).4d""","=""5F""","=""4""",,
Ti,1,"=""660.3270""","=""0.0005""","=""9*""","=""""",,"=""27025.659""","=""42169.6496""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3F*""","=""4""","=""3d2.4s.(4F).4d""","=""3G""","=""5""",,
Fe,1,"=""660.5020""","=""0.0003""","=""200""","=""""",,"=""29371.812""","=""44511.812""","=""3d6.4s2""","=""b 3D""","=""3""","=""3d7.(4P).4p""","=""y 5S*""","=""2""",,
Fe,1,"=""660.5164""","=""0.0003""","=""219""","=""""",,"=""19552.478""","=""34692.148""","=""3d6.4s2""","=""a 3P2""","=""1""","=""3d7.(4F).4p""","=""y 5F*""","=""1""",,
Fe,1,"=""660.64126""","=""0.00013""","=""1230""","=""""",,"=""38995.736""","=""54132.551""","=""3d7.(4F).4p""","=""y 3D*""","=""1""","=""3d7.(4F).4d""","=""h 5D""","=""1""",,
Fe,1,"=""660.98506""","=""0.00013""","=""1860""","=""""",,"=""18378.186""","=""33507.123""","=""3d6.4s2""","=""a 3P2""","=""2""","=""3d7.(4F).4p""","=""y 5D*""","=""3""",,
Fe,1,"=""661.07774""","=""0.00013""","=""500""","=""""",,"=""33801.572""","=""48928.388""","=""3d7.(4F).4p""","=""y 5D*""","=""2""","=""3d7.(4F).5s""","=""e 3F""","=""2""",,
Fe,1,"=""661.09351""","=""0.00013""","=""24000""","=""3.45e+04""",C+,"=""20641.110""","=""35767.564""","=""3d6.4s2""","=""b 3F2""","=""4""","=""3d7.(4F).4p""","=""z 3G*""","=""4""",,
Fe,1,"=""661.1503""","=""0.0009""","=""1350bl""","=""""",,"=""7985.785""","=""23110.939""","=""3d7.(4F).4s""","=""a 5F""","=""2""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""3""",,
Ti,1,"=""661.5452""","=""0.0005""","=""4*""","=""""",,"=""20126.062""","=""35242.198""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3D*""","=""3""","=""3d4""","=""3F2""","=""4""",,
Ti,1,"=""661.5452""","=""0.0005""","=""4*""","=""""",,"=""11776.812""","=""26892.936""","=""3d3.(4F).4s""","=""b 3F""","=""4""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3F*""","=""3""",,
Fe,1,"=""661.56516""","=""0.00013""","=""1480""","=""""",,"=""8154.714""","=""23270.384""","=""3d7.(4F).4s""","=""a 5F""","=""1""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""0""",,
Fe,1,"=""661.6776""","=""0.0007""","=""71""","=""""",,"=""43922.668""","=""59035.762""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""3""","=""3d6.4s.(6D).7s""","=""5D""","=""2""",,
Ti,1,"=""662.4136""","=""0.0005""","=""3""","=""""",,"=""32857.723""","=""47954.025""","=""3d2.(1D).4s.4p.(1P*)""","=""y 1F*""","=""3""","=""3d3.(2G).5s""","=""1G""","=""4""",,
Fe,1,"=""662.4236""","=""0.0007""","=""151""","=""""",,"=""35379.208""","=""50475.288""","=""3d7.(4F).4p""","=""z 3G*""","=""5""","=""3d6.(5D).4s (6D).4d""","=""e 7P""","=""4""",,
Ti,1,"=""662.4451""","=""0.0005""","=""6""","=""""",,"=""26892.936""","=""41988.5259""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3F*""","=""3""","=""3d2.4s.(4F).4d""","=""g 3F""","=""3""",,
Ti,1,"=""662.4703""","=""0.0005""","=""4""","=""""",,"=""17995.487""","=""33090.497""","=""3d3.(2P).4s""","=""b 3P""","=""0""","=""3d3.(4P).4p""","=""x 3P*""","=""1""",,
Fe,1,"=""662.5620""","=""0.0007""","=""219""","=""""",,"=""32873.632""","=""47966.585""","=""3d8""","=""c 3F""","=""4""","=""3d5.(6S).4s2.4p""","=""v 5P*""","=""3""",,
Fe,1,"=""662.68512""","=""0.00013""","=""3980""","=""2.34e+02""",B+,"=""8154.714""","=""23244.838""","=""3d7.(4F).4s""","=""a 5F""","=""1""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""1""",,
Fe,1,"=""662.93747""","=""0.00013""","=""4680""","=""""",,"=""36686.176""","=""51770.557""","=""3d7.(4F).4p""","=""y 3F*""","=""4""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""3""",,
Ti,1,"=""663.0207""","=""0.0005""","=""6""","=""""",,"=""26892.936""","=""41975.4249""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3F*""","=""3""","=""3d2.4s.(4F).4d""","=""3G""","=""4""",,
Ti,1,"=""663.0683""","=""0.0005""","=""7""","=""""",,"=""27025.659""","=""42107.0545""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3F*""","=""4""","=""3d2.4s.(4F).4d""","=""g 3F""","=""4""",,
Mg,1,"=""663.2665""","=""""","=""2""","=""""",,"=""43503.333""","=""58580.23""","=""3s.4s""","=""1S""","=""0""","=""3s.7p""","=""1P*""","=""1""",,
Fe,1,"=""663.3810""","=""0.0004""","=""129""","=""""",,"=""40231.336""","=""55305.627""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""2""","=""3d6.4s.(6D).6s""","=""5D""","=""1""",,
Fe,1,"=""663.52440""","=""0.00013""","=""3470""","=""""",,"=""38995.736""","=""54066.773""","=""3d7.(4F).4p""","=""y 3D*""","=""1""","=""3d7.(4F).4d""","=""f 3D""","=""2""",,
Fe,1,"=""663.55812""","=""0.00013""","=""12000""","=""3.44e+06""",C+,"=""36766.966""","=""51837.238""","=""3d6.(5D).4s.4p.(1P*)""","=""y 5P*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""e 5P""","=""3""",,
Fe,1,"=""663.59387""","=""0.00013""","=""3980""","=""""",,"=""38678.039""","=""53747.500""","=""3d7.(4F).4p""","=""y 3D*""","=""2""","=""3d7.(4F).4d""","=""f 3D""","=""3""",,
Ti,1,"=""663.6383""","=""0.0005""","=""5""","=""""",,"=""26803.420""","=""41871.8642""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3F*""","=""2""","=""3d2.4s.(4F).4d""","=""g 3F""","=""2""",,
Ti,1,"=""663.8183""","=""0.0005""","=""3""","=""""",,"=""26803.420""","=""41867.7812""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3F*""","=""2""","=""3d2.4s.(4F).4d""","=""3G""","=""3""",,
Fe,1,"=""663.8797""","=""0.0004""","=""182""","=""""",,"=""33412.717""","=""48475.686""","=""3d8""","=""c 3F""","=""3""","=""3d6.(3G).4s.4p.(3P*)""","=""y 5H*""","=""3""",,
Fe,1,"=""664.17115""","=""0.00013""","=""1510""","=""""",,"=""32873.632""","=""47929.997""","=""3d8""","=""c 3F""","=""4""","=""3d6.(3G).4s.4p.(3P*)""","=""v 5F*""","=""4""",,
Ti,1,"=""664.3177""","=""0.0005""","=""6""","=""""",,"=""18061.387""","=""33114.420""","=""3d3.(2P).4s""","=""b 3P""","=""1""","=""3d3.(4P).4p""","=""x 3P*""","=""2""",,
Fe,1,"=""664.7202""","=""0.0007""","=""151""","=""""",,"=""35379.208""","=""50423.137""","=""3d7.(4F).4p""","=""z 3G*""","=""5""","=""3d6.(5D).4s (6D).4d""","=""f 5D""","=""4""",,
Fe,1,"=""664.87669""","=""0.00013""","=""1170""","=""""",,"=""21038.987""","=""36079.372""","=""3d6.4s2""","=""b 3F2""","=""2""","=""3d7.(4F).4p""","=""z 3G*""","=""3""",,
Fe,1,"=""664.99164""","=""0.00013""","=""1120""","=""3.64e+01""",B+,"=""8154.714""","=""23192.500""","=""3d7.(4F).4s""","=""a 5F""","=""1""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""2""",,
Ti,1,"=""665.3759""","=""0.0005""","=""3""","=""""",,"=""18061.387""","=""33090.497""","=""3d3.(2P).4s""","=""b 3P""","=""1""","=""3d3.(4P).4p""","=""x 3P*""","=""1""",,
Fe,1,"=""665.56897""","=""0.00013""","=""1860""","=""""",,"=""33507.123""","=""48531.865""","=""3d7.(4F).4p""","=""y 5D*""","=""3""","=""3d7.(4F).5s""","=""e 3F""","=""3""",,
Ti,1,"=""665.6120""","=""0.0005""","=""6""","=""""",,"=""18061.387""","=""33085.151""","=""3d3.(2P).4s""","=""b 3P""","=""1""","=""3d3.(4P).4p""","=""x 3P*""","=""0""",,
Fe,1,"=""666.50720""","=""0.00013""","=""6000""","=""""",,"=""36766.966""","=""51770.557""","=""3d6.(5D).4s.4p.(1P*)""","=""y 5P*""","=""3""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""3""",,
Fe,1,"=""666.52816""","=""0.00013""","=""63000""","=""4.98e+05""",B,"=""19552.478""","=""34555.597""","=""3d6.4s2""","=""a 3P2""","=""1""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3P*""","=""0""",,
Fe,1,"=""666.7267""","=""0.0004""","=""324""","=""""",,"=""12560.934""","=""27559.583""","=""3d7.(4F).4s""","=""a 3F""","=""3""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""2""",,
Ti,1,"=""666.7691""","=""0.0005""","=""18""","=""""",,"=""28638.841""","=""43636.5388""","=""3d3.(4F).4p""","=""y 5F*""","=""2""","=""3d3.(4F).4d""","=""5G""","=""3""",,
Ti,1,"=""666.8342""","=""0.0005""","=""25""","=""""",,"=""28702.778""","=""43699.0187""","=""3d3.(4F).4p""","=""y 5F*""","=""3""","=""3d3.(4F).4d""","=""5G""","=""4""",,
Ti,1,"=""666.839""","=""0.002""","=""18w""","=""3.3e+05""",C,"=""11776.812""","=""26772.968""","=""3d3.(4F).4s""","=""b 3F""","=""4""","=""3d3.(4F).4p""","=""y 5G*""","=""5""",,
Ti,1,"=""666.8532""","=""0.0005""","=""13""","=""""",,"=""28596.313""","=""43592.1203""","=""3d3.(4F).4p""","=""y 5F*""","=""1""","=""3d3.(4F).4d""","=""5G""","=""2""",,
Fe,1,"=""666.92597""","=""0.00013""","=""710""","=""""",,"=""19788.251""","=""34782.421""","=""3d6.4s2""","=""a 3H""","=""4""","=""3d7.(4F).4p""","=""z 5G*""","=""5""",,
Fe,1,"=""666.95519""","=""0.00013""","=""980""","=""1.66e+05""",C+,"=""36975.588""","=""51969.101""","=""3d7.(2F).4s""","=""d 3F""","=""3""","=""3d7.(2P).4p""","=""u 3D*""","=""3""",,
Ti,1,"=""666.9574""","=""0.0005""","=""29""","=""""",,"=""28788.380""","=""43781.8353""","=""3d3.(4F).4p""","=""y 5F*""","=""4""","=""3d3.(4F).4d""","=""5G""","=""5""",,
Ti,1,"=""667.0216""","=""0.0005""","=""34""","=""""",,"=""28896.059""","=""43888.0708""","=""3d3.(4F).4p""","=""y 5F*""","=""5""","=""3d3.(4F).4d""","=""5G""","=""6""",,
Fe,1,"=""667.4522""","=""0.0004""","=""182""","=""""",,"=""43499.505""","=""58481.855""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""4""","=""3d6.4s.(4D).4d""","=""5P""","=""3""",,
Fe,1,"=""667.5657""","=""0.0007""","=""100""","=""""",,"=""38175.355""","=""53155.145""","=""3d7.(4F).4p""","=""y 3D*""","=""3""","=""3d7.(4F).4d""","=""h 5D""","=""4""",,
Fe,1,"=""667.8709""","=""0.0004""","=""200""","=""""",,"=""36766.966""","=""51739.920""","=""3d6.(5D).4s.4p.(1P*)""","=""y 5P*""","=""3""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""2""",,
Ti,1,"=""667.9019""","=""0.0005""","=""31""","=""""",,"=""20062.886""","=""35035.137""","=""3d3.(2P).4s""","=""a 1P""","=""1""","=""3d2.(3P).4s.4p.(3P*)""","=""x 1D*""","=""2""",,
Fe,1,"=""667.98304""","=""0.00013""","=""240000""","=""6.34e+05""",B,"=""21715.732""","=""36686.176""","=""3d7.(2G).4s""","=""a 3G""","=""5""","=""3d7.(4F).4p""","=""y 3F*""","=""4""",,
Ti,1,"=""668.0413""","=""0.0005""","=""28""","=""""",,"=""18145.286""","=""33114.420""","=""3d3.(2P).4s""","=""b 3P""","=""2""","=""3d3.(4P).4p""","=""x 3P*""","=""2""",,
Fe,1,"=""668.4081""","=""0.0004""","=""251""","=""""",,"=""32873.632""","=""47834.550""","=""3d8""","=""c 3F""","=""4""","=""3d6.(3F2).4s.4p.(3P*)""","=""x 3G*""","=""5""",,
Ti,1,"=""668.7491""","=""0.0005""","=""2""","=""""",,"=""28638.841""","=""43592.1203""","=""3d3.(4F).4p""","=""y 5F*""","=""2""","=""3d3.(4F).4d""","=""5G""","=""2""",,
Fe,1,"=""668.93382""","=""0.00013""","=""1700""","=""""",,"=""33412.717""","=""48361.882""","=""3d8""","=""c 3F""","=""3""","=""3d6.(3G).4s.4p.(3P*)""","=""y 5H*""","=""4""",,
Ti,1,"=""669.1105""","=""0.0005""","=""15""","=""""",,"=""18145.286""","=""33090.497""","=""3d3.(2P).4s""","=""b 3P""","=""2""","=""3d3.(4P).4p""","=""x 3P*""","=""1""",,
Fe,1,"=""669.41197""","=""0.00013""","=""780""","=""""",,"=""32873.632""","=""47812.118""","=""3d8""","=""c 3F""","=""4""","=""3d6.(3F2).4s.4p.(3P*)""","=""x 3G*""","=""4""",,
Fe,1,"=""669.4317""","=""0.0009""","=""100""","=""""",,"=""36766.966""","=""51705.014""","=""3d6.(5D).4s.4p.(1P*)""","=""y 5P*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""f 5F""","=""2""",,
Ti,1,"=""669.6231""","=""0.0005""","=""2""","=""""",,"=""28702.778""","=""43636.5388""","=""3d3.(4F).4p""","=""y 5F*""","=""3""","=""3d3.(4F).4d""","=""5G""","=""3""",,
Fe,1,"=""670.09909""","=""0.00013""","=""1100""","=""1.68e+05""",C+,"=""37045.934""","=""51969.101""","=""3d7.(2F).4s""","=""d 3F""","=""4""","=""3d7.(2P).4p""","=""u 3D*""","=""3""",,
Fe,1,"=""670.54177""","=""0.00013""","=""8700""","=""1.8e+04""",D,"=""22249.429""","=""37162.746""","=""3d7.(2G).4s""","=""a 3G""","=""3""","=""3d7.(4F).4p""","=""y 3F*""","=""3""",,
Fe,1,"=""670.63315""","=""0.00013""","=""1100""","=""""",,"=""34017.103""","=""48928.388""","=""3d7.(4F).4p""","=""y 5D*""","=""1""","=""3d7.(4F).5s""","=""e 3F""","=""2""",,
Fe,1,"=""670.69531""","=""0.00013""","=""4790""","=""""",,"=""37157.566""","=""52067.469""","=""3d6.(5D).4s.4p.(1P*)""","=""y 5P*""","=""2""","=""3d6.(5D).4s (6D).4d""","=""e 5P""","=""2""",,
Ti,1,"=""670.8135""","=""0.0005""","=""4""","=""""",,"=""12118.393""","=""27025.659""","=""3d2.4s2""","=""a 1G""","=""4""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3F*""","=""4""",,
Fe,1,"=""670.92845""","=""0.00014""","=""680""","=""""",,"=""37162.746""","=""52067.469""","=""3d7.(4F).4p""","=""y 3F*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""e 5P""","=""2""",,
Fe,1,"=""671.21716""","=""0.00014""","=""3550""","=""""",,"=""11976.239""","=""26874.550""","=""3d7.(4F).4s""","=""a 3F""","=""4""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""5""",,
Fe,1,"=""671.3674""","=""0.0004""","=""251""","=""""",,"=""39969.853""","=""54864.831""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""3""","=""3d6.4s.(6D).6s""","=""5D""","=""3""",,
Fe,1,"=""671.4291""","=""0.0004""","=""282""","=""""",,"=""40231.336""","=""55124.938""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""2""","=""3d7.(4F).4d""","=""f 3F""","=""3""",,
Fe,1,"=""671.48998""","=""0.00014""","=""4070""","=""""",,"=""37157.566""","=""52049.823""","=""3d6.(5D).4s.4p.(1P*)""","=""y 5P*""","=""2""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""2""",,
Fe,1,"=""671.50490""","=""0.00014""","=""1550""","=""""",,"=""33412.717""","=""48304.643""","=""3d8""","=""c 3F""","=""3""","=""3d7.(4P).4p""","=""x 3P*""","=""2""",,
Fe,1,"=""671.55979""","=""0.00014""","=""2820""","=""""",,"=""38678.039""","=""53568.751""","=""3d7.(4F).4p""","=""y 3D*""","=""2""","=""3d7.(4F).4d""","=""f 5P""","=""2""",,
Fe,1,"=""671.72367""","=""0.00014""","=""3980""","=""""",,"=""37162.746""","=""52049.823""","=""3d7.(4F).4p""","=""y 3F*""","=""3""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""2""",,
Fe,1,"=""671.80909""","=""0.00014""","=""3890""","=""""",,"=""36940.590""","=""51825.773""","=""3d7.(2F).4s""","=""d 3F""","=""2""","=""3d7.(2H).4p""","=""u 3G*""","=""3""",,
Ti,1,"=""671.8519""","=""0.0005""","=""49""","=""""",,"=""20062.886""","=""34947.116""","=""3d3.(2P).4s""","=""a 1P""","=""1""","=""3d2.(3P).4s.4p.(3P*)""","=""y 1P*""","=""1""",,
Fe,1,"=""671.9155""","=""0.0007""","=""151""","=""""",,"=""40871.412""","=""55754.233""","=""3d8""","=""3P""","=""2""","=""3d7.(2D2).4p""","=""w 1D*""","=""2""",,
Fe,1,"=""671.93811""","=""0.00014""","=""2690""","=""""",,"=""37157.566""","=""52039.892""","=""3d6.(5D).4s.4p.(1P*)""","=""y 5P*""","=""2""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""1""",,
Fe,1,"=""672.72134""","=""0.00014""","=""3980""","=""""",,"=""33095.941""","=""47960.940""","=""3d7.(4F).4p""","=""y 5D*""","=""4""","=""3d7.(4F).5s""","=""e 3F""","=""4""",,
Fe,1,"=""672.85233""","=""0.00014""","=""5600""","=""""",,"=""37157.566""","=""52019.669""","=""3d6.(5D).4s.4p.(1P*)""","=""y 5P*""","=""2""","=""3d6.(5D).4s (6D).4d""","=""e 5P""","=""1""",,
Fe,1,"=""673.21498""","=""0.00014""","=""550""","=""""",,"=""39625.804""","=""54479.902""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""4""","=""3d6.4s.(6D).6s""","=""5D""","=""4""",,
Fe,1,"=""673.39228""","=""0.00014""","=""1950""","=""""",,"=""36975.588""","=""51825.773""","=""3d7.(2F).4s""","=""d 3F""","=""3""","=""3d7.(2H).4p""","=""u 3G*""","=""3""",,
Fe,1,"=""673.50095""","=""0.00014""","=""4680""","=""""",,"=""37409.555""","=""52257.346""","=""3d6.(5D).4s.4p.(1P*)""","=""y 5P*""","=""1""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""0""",,
Fe,1,"=""673.6865""","=""0.0009""","=""71""","=""""",,"=""35767.564""","=""50611.261""","=""3d7.(4F).4p""","=""z 3G*""","=""4""","=""3d6.(5D).4s (6D).4d""","=""e 7P""","=""3""",,
Fe,1,"=""673.83905""","=""0.00014""","=""710""","=""""",,"=""34636.792""","=""49477.127""","=""3d6.4s2""","=""b 1D2""","=""2""","=""3d6.(3F2).4s.4p.(3P*)""","=""1F*""","=""3""",,
Fe,1,"=""673.9129""","=""0.0004""","=""324""","=""""",,"=""26339.696""","=""41178.412""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5D*""","=""2""","=""3d8""","=""3P""","=""1""",,
Fe,1,"=""673.98466""","=""0.00014""","=""3020""","=""""",,"=""36766.966""","=""51604.103""","=""3d6.(5D).4s.4p.(1P*)""","=""y 5P*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""f 5F""","=""3""",,
